Latitude,Longitude,state
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.15441399,-121.1024988,CA
35.92202998,-121.0601059,CA
35.97390585,-121.1171236,CA
35.94837,-121.194481,CA
35.92666679,-121.0793024,CA
36.69871606,-121.7949213,CA
36.69871606,-121.7949213,CA
36.69871606,-121.7949213,CA
36.69871606,-121.7949213,CA
36.69863485,-121.7949687,CA
36.6477723,-121.6271543,CA
36.66502867,-121.6410998,CA
36.57452903,-121.5803167,CA
36.57452903,-121.5803167,CA
36.65980449,-121.625094,CA
36.52096038,-121.5211182,CA
36.47827562,-121.4825889,CA
36.52096038,-121.5211182,CA
36.67462573,-121.6554005,CA
36.6477723,-121.6271543,CA
36.47827562,-121.4825889,CA
36.66444963,-121.6395211,CA
36.47827562,-121.4825889,CA
36.5255061,-121.6807195,CA
36.603909,-121.654754,CA
36.60902232,-121.8424579,CA
36.40920741,-121.385207,CA
36.40193004,-121.3160657,CA
36.37694436,-121.3387672,CA
36.411765,-121.316768,CA
36.37694436,-121.3387672,CA
36.411765,-121.316768,CA
36.37694436,-121.3387672,CA
36.411765,-121.316768,CA
36.411765,-121.316768,CA
36.37805805,-121.3405041,CA
36.47584019,-121.4677234,CA
36.411765,-121.316768,CA
36.42570342,-121.3098425,CA
36.42570342,-121.3098425,CA
36.40920741,-121.385207,CA
36.40920741,-121.385207,CA
36.98190103,-120.1511423,CA
36.98190103,-120.1511423,CA
36.88030147,-119.8906683,CA
37.098562,-119.716499,CA
38.05254167,-122.6305264,CA
38.10810056,-122.5686266,CA
38.2421901,-122.9019976,CA
37.39101352,-119.9694688,CA
37.49605673,-119.8197879,CA
38.584631,-122.56898,CA
38.96149123,-123.1194423,CA
38.97901904,-123.097521,CA
38.96149123,-123.1194423,CA
39.12590471,-123.5113038,CA
39.05744831,-123.4312673,CA
39.05744831,-123.4312673,CA
39.26881224,-123.1875017,CA
39.11134651,-123.1965496,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
38.89625,-123.229549,CA
36.40404451,-121.6620361,CA
36.3274639,-121.2707859,CA
36.26562413,-121.3890656,CA
36.23562088,-121.1060972,CA
36.23562088,-121.1060972,CA
36.69863485,-121.7949687,CA
36.57452903,-121.5803167,CA
36.57452903,-121.5803167,CA
37.643098,-120.96879,CA
36.411765,-121.316768,CA
38.74575176,-120.6914393,CA
36.64841971,-121.6289617,CA
38.17021126,-122.2601499,CA
38.19454537,-122.2776068,CA
38.19454537,-122.2776068,CA
38.19271078,-122.2685743,CA
38.17340148,-122.2503235,CA
38.19454537,-122.2776068,CA
38.19454537,-122.2776068,CA
38.19454537,-122.2776068,CA
38.19445866,-122.2573883,CA
38.116667,-122.233333,CA
38.19454537,-122.2776068,CA
38.116667,-122.233333,CA
38.57463306,-122.4631903,CA
38.574225,-122.445408,CA
38.56361807,-122.4655801,CA
38.56361807,-122.4655801,CA
38.59662405,-122.4631097,CA
38.5936759,-122.4444454,CA
38.56361807,-122.4655801,CA
38.59662405,-122.4631097,CA
38.56361807,-122.4655801,CA
38.59662405,-122.4631097,CA
38.59716927,-122.4502506,CA
38.56361807,-122.4655801,CA
38.5936759,-122.4444454,CA
38.59355843,-122.4510363,CA
38.59662405,-122.4631097,CA
38.56361807,-122.4655801,CA
38.59662405,-122.4631097,CA
38.56745303,-122.4633952,CA
38.59716927,-122.4502506,CA
38.55375107,-122.4178467,CA
38.57463306,-122.4631903,CA
38.56361807,-122.4655801,CA
38.60595848,-122.474588,CA
38.56986341,-122.4566147,CA
38.56361807,-122.4655801,CA
38.59662405,-122.4631097,CA
38.57463306,-122.4631903,CA
38.574225,-122.445408,CA
38.59662405,-122.4631097,CA
38.56361807,-122.4655801,CA
38.59930543,-122.4608304,CA
38.60666933,-122.4754629,CA
38.59716927,-122.4502506,CA
38.59662405,-122.4631097,CA
38.59662405,-122.4631097,CA
38.5936759,-122.4444454,CA
38.59930543,-122.4608304,CA
38.59662405,-122.4631097,CA
38.56145305,-122.4464475,CA
38.56361807,-122.4655801,CA
38.54657552,-122.410302,CA
38.59552263,-122.5822015,CA
38.61247429,-122.595525,CA
38.57698003,-122.5838888,CA
38.59446816,-122.5874904,CA
38.55642851,-122.5310797,CA
38.58180736,-122.5664287,CA
38.59138745,-122.604944,CA
38.59815996,-122.6187843,CA
38.58242275,-122.5891833,CA
38.584631,-122.56898,CA
38.58643424,-122.582702,CA
38.55325157,-122.5220501,CA
38.58417537,-122.5938344,CA
38.5758895,-122.5491735,CA
38.55871634,-122.6240645,CA
38.60122756,-122.6269648,CA
38.55270445,-122.5564373,CA
38.5729446,-122.5551363,CA
38.5758895,-122.5491735,CA
38.55908009,-122.5217198,CA
38.56884388,-122.515676,CA
38.5683625,-122.5552658,CA
38.54351171,-122.5799608,CA
38.56704084,-122.5747956,CA
38.58482067,-122.6000918,CA
38.61247429,-122.595525,CA
38.59138745,-122.604944,CA
38.59138745,-122.604944,CA
38.55908009,-122.5217198,CA
38.55908009,-122.5217198,CA
38.57228061,-122.6157823,CA
38.58686033,-122.5838055,CA
38.5758895,-122.5491735,CA
38.5956442,-122.6057081,CA
38.57802666,-122.5175603,CA
38.59138745,-122.604944,CA
38.57523266,-122.5795868,CA
38.5758895,-122.5491735,CA
38.5996544,-122.6103338,CA
38.60853035,-122.6018384,CA
38.58155279,-122.5536156,CA
38.57698003,-122.5838888,CA
38.61960771,-122.5934085,CA
38.5956442,-122.6057081,CA
38.59446816,-122.5874904,CA
38.58870695,-122.5968655,CA
38.5758895,-122.5491735,CA
38.58538516,-122.5491466,CA
38.59138745,-122.604944,CA
38.61960771,-122.5934085,CA
38.5758895,-122.5491735,CA
38.55782101,-122.5250722,CA
38.584631,-122.56898,CA
38.58757217,-122.5750773,CA
38.61960771,-122.5934085,CA
38.55270445,-122.5564373,CA
38.5956442,-122.6057081,CA
38.61844091,-122.5936073,CA
38.5758895,-122.5491735,CA
38.58391401,-122.5831631,CA
38.5767552,-122.5780501,CA
38.5758895,-122.5491735,CA
38.59138745,-122.604944,CA
38.61247429,-122.595525,CA
38.55325157,-122.5220501,CA
38.56704084,-122.5747956,CA
38.57802398,-122.5511459,CA
38.57783844,-122.5832875,CA
38.57738324,-122.5255033,CA
38.57852211,-122.5854142,CA
38.57446972,-122.5769288,CA
38.61247429,-122.595525,CA
38.57582828,-122.5851459,CA
38.57802398,-122.5511459,CA
38.59158444,-122.5511846,CA
38.59158444,-122.5511846,CA
38.55908009,-122.5217198,CA
38.59138745,-122.604944,CA
38.56704084,-122.5747956,CA
38.5758895,-122.5491735,CA
38.56297567,-122.5116831,CA
38.56382826,-122.5773504,CA
38.61844091,-122.5936073,CA
38.57913009,-122.5850396,CA
38.58409887,-122.581959,CA
38.55055669,-122.538425,CA
38.61247429,-122.595525,CA
38.58433969,-122.6005584,CA
38.58564307,-122.591237,CA
38.584631,-122.56898,CA
38.59146917,-122.606708,CA
38.5956442,-122.6057081,CA
38.56704084,-122.5747956,CA
38.5902457,-122.5940449,CA
38.5584502,-122.5567033,CA
38.56475783,-122.5756097,CA
38.57523266,-122.5795868,CA
